id,name,category,importance,question_count,main_question_count
f3eba66f-ac89-57a9-bf19-26f49d01700e,CMS,JVM,3,2,1
f41626fb-6afc-5ebc-a1b0-b9ecb48f6d8f,G1,JVM,3,1,0
2e2dfb57-253f-524f-93f6-7c46e2626956,GC,JVM,4,13,6
46ac40a7-9179-59c5-9b1f-59815e6d8dab,JVM,JVM,5,13,6
7fa995f8-66fb-5a39-b00f-e789393c1b52,JVM 调优,JVM,3,6,4
6f63ad7c-0344-5bb4-abe7-50d567eed213,Parallel,JVM,3,2,0
b56f5dc3-80e5-5e8d-8745-029811f0d21d,Serial,JVM,3,2,0
bd19762b-5d5e-51f0-b983-4d1cbd5e1b71,ZGC,JVM,3,1,0
beb704fb-b1c9-56ab-90bf-4c10cd565b8b,元空间,JVM,3,1,1
115cf541-3851-5a58-9a74-a31baca64c12,内存管理,JVM,5,22,11
74856c8c-168a-5aab-ab5c-78929e7b9fde,双亲委派,JVM,5,6,4
9b9c9cc1-56a4-5083-9bcd-3a8968ab6565,可达性分析,JVM,3,1,0
e464c8af-b02a-51de-9efb-073311f28782,垃圾回收,JVM,5,4,1
ba5d8525-9219-59fd-a768-c9ebf09eb91c,垃圾收集,JVM,5,17,8
b2bc0a16-d7bf-5aba-ad42-d6b1bb0126e9,堆,JVM,3,11,4
df4b21d4-7dba-5b08-9ff6-19093abd0c94,对象创建,JVM,5,2,1
118619a7-f414-5f18-8737-a6a10c9e31c6,对象头,JVM,2,1,0
b8da8ff2-0bf2-5067-acb2-d6ff85e1ba96,引用,JVM,3,3,1
943f3038-8b57-5e3f-b417-e53c52218ad3,方法区,JVM,3,1,0
06e81f88-4f0f-58ee-9219-07e8c425758b,本地方法栈,JVM,3,3,0
d78b41f4-7b88-5078-b720-66db950ae758,程序计数器,JVM,3,1,0
c696584b-5bad-5aeb-bab5-15515d20b9a1,类加载,JVM,4,1,1
66cb5bc0-14bc-5928-b3ba-177c90515b53,类加载器,JVM,4,1,1
f5697dd5-c995-5a00-b09f-5c0fbf0e4ada,类加载机制,JVM,5,5,5
58e6e2b4-da59-528d-8556-4cbd5cf6f8f7,虚拟机栈,JVM,3,2,0
e8ae7d5a-6f7e-5e59-8932-22ab470d2233,逃逸分析,JVM,2,2,0
a00b72fd-c98e-58bb-9c56-4f13a88f3bcb,I/O,Java基础,3,2,1
19047b61-fe92-5372-886d-f1956d928401,IO,Java基础,3,10,2
c248aef2-08c6-5464-be56-d223fd14913c,Integer,Java基础,3,5,2
5527de9b-277a-5a42-b77c-7175b08fd59a,JDK,Java基础,4,2,2
41573dc1-df26-55fc-974b-cd491601c963,Java 概述,Java基础,5,9,5
f0cae0c7-7f60-5915-9d0b-9f1869904760,Lambda,Java基础,3,1,1
866908a7-b18d-5590-988e-0823abaea37d,NIO,Java基础,5,2,1
